r,run,hops,n,p,q,grid_type
0,745,30,100,1,1,torus
0,746,28,100,1,1,torus
0,747,30,100,1,1,torus
0,748,28,100,1,1,torus
0,749,34,100,1,1,torus
0,750,8,100,1,1,torus
0,751,31,100,1,1,torus
0,752,16,100,1,1,torus
0,753,8,100,1,1,torus
0,754,9,100,1,1,torus
0,755,30,100,1,1,torus
0,756,12,100,1,1,torus
0,757,29,100,1,1,torus
0,758,18,100,1,1,torus
0,759,18,100,1,1,torus
0,760,10,100,1,1,torus
0,761,18,100,1,1,torus
0,762,26,100,1,1,torus
0,763,25,100,1,1,torus
0,764,29,100,1,1,torus
0,765,34,100,1,1,torus
0,766,11,100,1,1,torus
0,767,22,100,1,1,torus
0,768,17,100,1,1,torus
0,769,13,100,1,1,torus
0,770,10,100,1,1,torus
0,771,28,100,1,1,torus
0,772,42,100,1,1,torus
0,773,37,100,1,1,torus
0,774,14,100,1,1,torus
0,775,31,100,1,1,torus
0,776,27,100,1,1,torus
0,777,28,100,1,1,torus
0,778,18,100,1,1,torus
0,779,8,100,1,1,torus
0,780,22,100,1,1,torus
0,781,23,100,1,1,torus
0,782,23,100,1,1,torus
0,783,9,100,1,1,torus
0,784,31,100,1,1,torus
0,785,32,100,1,1,torus
0,786,23,100,1,1,torus
0,787,26,100,1,1,torus
0,788,36,100,1,1,torus
0,789,23,100,1,1,torus
0,790,27,100,1,1,torus
0,791,17,100,1,1,torus
0,792,15,100,1,1,torus
0,793,18,100,1,1,torus
0,794,22,100,1,1,torus
0,795,23,100,1,1,torus
0,796,15,100,1,1,torus
0,797,25,100,1,1,torus
0,798,17,100,1,1,torus
0,799,19,100,1,1,torus
0,800,24,100,1,1,torus
0,801,22,100,1,1,torus
0,802,20,100,1,1,torus
0,803,24,100,1,1,torus
0,804,26,100,1,1,torus
0,805,24,100,1,1,torus
0,806,3,100,1,1,torus
0,807,15,100,1,1,torus
0,808,10,100,1,1,torus
0,809,9,100,1,1,torus
0,810,35,100,1,1,torus
0,811,14,100,1,1,torus
0,812,21,100,1,1,torus
0,813,19,100,1,1,torus
0,814,14,100,1,1,torus
0,815,25,100,1,1,torus
0,816,20,100,1,1,torus
0,817,32,100,1,1,torus
0,818,23,100,1,1,torus
0,819,24,100,1,1,torus
0,820,19,100,1,1,torus
0,821,26,100,1,1,torus
0,822,16,100,1,1,torus
0,823,18,100,1,1,torus
0,824,23,100,1,1,torus
0,825,12,100,1,1,torus
0,826,14,100,1,1,torus
0,827,34,100,1,1,torus
0,828,14,100,1,1,torus
0,829,19,100,1,1,torus
0,830,18,100,1,1,torus
0,831,27,100,1,1,torus
0,832,27,100,1,1,torus
0,833,22,100,1,1,torus
0,834,13,100,1,1,torus
0,835,30,100,1,1,torus
0,836,30,100,1,1,torus
0,837,30,100,1,1,torus
0,838,11,100,1,1,torus
0,839,23,100,1,1,torus
0,840,15,100,1,1,torus
0,841,29,100,1,1,torus
0,842,8,100,1,1,torus
0,843,20,100,1,1,torus
0,844,18,100,1,1,torus
0,845,27,100,1,1,torus
0,846,24,100,1,1,torus
0,847,21,100,1,1,torus
0,848,17,100,1,1,torus
0,849,17,100,1,1,torus
0,850,18,100,1,1,torus
0,851,19,100,1,1,torus
0,852,20,100,1,1,torus
0,853,18,100,1,1,torus
0,854,19,100,1,1,torus
0,855,20,100,1,1,torus
0,856,20,100,1,1,torus
0,857,34,100,1,1,torus
0,858,32,100,1,1,torus
0,859,20,100,1,1,torus
0,860,22,100,1,1,torus
0,861,28,100,1,1,torus
0,862,17,100,1,1,torus
0,863,29,100,1,1,torus
0,864,30,100,1,1,torus
0,865,17,100,1,1,torus
0,866,20,100,1,1,torus
0,867,19,100,1,1,torus
0,868,18,100,1,1,torus
0,869,13,100,1,1,torus
0,870,17,100,1,1,torus
0,871,18,100,1,1,torus
0,872,7,100,1,1,torus
0,873,23,100,1,1,torus
0,874,29,100,1,1,torus
0,875,16,100,1,1,torus
0,876,18,100,1,1,torus
0,877,30,100,1,1,torus
0,878,19,100,1,1,torus
0,879,14,100,1,1,torus
0,880,36,100,1,1,torus
0,881,37,100,1,1,torus
0,882,15,100,1,1,torus
0,883,30,100,1,1,torus
0,884,25,100,1,1,torus
0,885,19,100,1,1,torus
0,886,20,100,1,1,torus
0,887,37,100,1,1,torus
0,888,19,100,1,1,torus
0,889,33,100,1,1,torus
0,890,14,100,1,1,torus
0,891,17,100,1,1,torus
0,892,18,100,1,1,torus
0,893,24,100,1,1,torus
0,894,19,100,1,1,torus
0,895,16,100,1,1,torus
0,896,17,100,1,1,torus
0,897,20,100,1,1,torus
0,898,24,100,1,1,torus
0,899,31,100,1,1,torus
0,900,21,100,1,1,torus
0,901,17,100,1,1,torus
0,902,25,100,1,1,torus
0,903,20,100,1,1,torus
0,904,19,100,1,1,torus
0,905,18,100,1,1,torus
0,906,20,100,1,1,torus
0,907,18,100,1,1,torus
0,908,29,100,1,1,torus
0,909,13,100,1,1,torus
0,910,11,100,1,1,torus
0,911,18,100,1,1,torus
0,912,26,100,1,1,torus
0,913,19,100,1,1,torus
0,914,25,100,1,1,torus
0,915,32,100,1,1,torus
0,916,30,100,1,1,torus
0,917,13,100,1,1,torus
0,918,37,100,1,1,torus
0,919,17,100,1,1,torus
0,920,15,100,1,1,torus
0,921,40,100,1,1,torus
0,922,31,100,1,1,torus
0,923,26,100,1,1,torus
0,924,17,100,1,1,torus
0,925,23,100,1,1,torus
0,926,27,100,1,1,torus
0,927,21,100,1,1,torus
0,928,18,100,1,1,torus
