r,run,hops,n,p,q,grid_type
0,488,16,100,1,1,flat
0,489,21,100,1,1,flat
0,490,15,100,1,1,flat
0,491,29,100,1,1,flat
0,492,19,100,1,1,flat
0,493,18,100,1,1,flat
0,494,25,100,1,1,flat
0,495,29,100,1,1,flat
0,496,17,100,1,1,flat
0,497,37,100,1,1,flat
0,498,22,100,1,1,flat
0,499,24,100,1,1,flat
0,500,20,100,1,1,flat
0,501,34,100,1,1,flat
0,502,16,100,1,1,flat
0,503,24,100,1,1,flat
0,504,21,100,1,1,flat
0,505,37,100,1,1,flat
0,506,27,100,1,1,flat
0,507,25,100,1,1,flat
0,508,27,100,1,1,flat
0,509,41,100,1,1,flat
0,510,12,100,1,1,flat
0,511,22,100,1,1,flat
0,512,24,100,1,1,flat
0,513,16,100,1,1,flat
0,514,6,100,1,1,flat
0,515,13,100,1,1,flat
0,516,22,100,1,1,flat
0,517,17,100,1,1,flat
0,518,19,100,1,1,flat
0,519,21,100,1,1,flat
0,520,16,100,1,1,flat
0,521,26,100,1,1,flat
0,522,28,100,1,1,flat
0,523,27,100,1,1,flat
0,524,28,100,1,1,flat
0,525,20,100,1,1,flat
0,526,19,100,1,1,flat
0,527,38,100,1,1,flat
0,528,15,100,1,1,flat
0,529,5,100,1,1,flat
0,530,15,100,1,1,flat
0,531,29,100,1,1,flat
0,532,33,100,1,1,flat
0,533,24,100,1,1,flat
0,534,39,100,1,1,flat
0,535,31,100,1,1,flat
0,536,14,100,1,1,flat
0,537,32,100,1,1,flat
0,538,17,100,1,1,flat
0,539,29,100,1,1,flat
0,540,17,100,1,1,flat
0,541,21,100,1,1,flat
0,542,22,100,1,1,flat
0,543,18,100,1,1,flat
0,544,27,100,1,1,flat
0,545,17,100,1,1,flat
0,546,34,100,1,1,flat
0,547,31,100,1,1,flat
0,548,30,100,1,1,flat
0,549,22,100,1,1,flat
0,550,4,100,1,1,flat
0,551,17,100,1,1,flat
0,552,24,100,1,1,flat
0,553,26,100,1,1,flat
0,554,31,100,1,1,flat
0,555,24,100,1,1,flat
0,556,19,100,1,1,flat
0,557,17,100,1,1,flat
0,558,23,100,1,1,flat
0,559,21,100,1,1,flat
0,560,19,100,1,1,flat
0,561,15,100,1,1,flat
0,562,20,100,1,1,flat
0,563,20,100,1,1,flat
0,564,19,100,1,1,flat
0,565,14,100,1,1,flat
0,566,25,100,1,1,flat
0,567,30,100,1,1,flat
0,568,17,100,1,1,flat
0,569,26,100,1,1,flat
0,570,10,100,1,1,flat
0,571,15,100,1,1,flat
0,572,31,100,1,1,flat
0,573,16,100,1,1,flat
0,574,19,100,1,1,flat
0,575,13,100,1,1,flat
0,576,29,100,1,1,flat
0,577,32,100,1,1,flat
0,578,15,100,1,1,flat
0,579,33,100,1,1,flat
0,580,30,100,1,1,flat
0,581,12,100,1,1,flat
0,582,28,100,1,1,flat
0,583,22,100,1,1,flat
0,584,39,100,1,1,flat
0,585,20,100,1,1,flat
0,586,5,100,1,1,flat
0,587,6,100,1,1,flat
0,588,17,100,1,1,flat
0,589,21,100,1,1,flat
0,590,25,100,1,1,flat
0,591,32,100,1,1,flat
0,592,36,100,1,1,flat
0,593,11,100,1,1,flat
0,594,22,100,1,1,flat
0,595,34,100,1,1,flat
0,596,29,100,1,1,flat
0,597,16,100,1,1,flat
0,598,21,100,1,1,flat
0,599,23,100,1,1,flat
0,600,17,100,1,1,flat
